Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Oman,0,0,0,0,0,0
2020-01-24,Oman,0,0,0,0,0,0
2020-01-25,Oman,0,0,0,0,0,0
2020-01-26,Oman,0,0,0,0,0,0
2020-01-27,Oman,0,0,0,0,0,0
2020-01-28,Oman,0,0,0,0,0,0
2020-01-29,Oman,0,0,0,0,0,0
2020-01-30,Oman,0,0,0,0,0,0
2020-01-31,Oman,0,0,0,0,0,0
2020-02-01,Oman,0,0,0,0,0,0
2020-02-02,Oman,0,0,0,0,0,0
2020-02-03,Oman,0,0,0,0,0,0
2020-02-04,Oman,0,0,0,0,0,0
2020-02-05,Oman,0,0,0,0,0,0
2020-02-06,Oman,0,0,0,0,0,0
2020-02-07,Oman,0,0,0,0,0,0
2020-02-08,Oman,0,0,0,0,0,0
2020-02-09,Oman,0,0,0,0,0,0
2020-02-10,Oman,0,0,0,0,0,0
2020-02-11,Oman,0,0,0,0,0,0
2020-02-12,Oman,0,0,0,0,0,0
2020-02-13,Oman,0,0,0,0,0,0
2020-02-14,Oman,0,0,0,0,0,0
2020-02-15,Oman,0,0,0,0,0,0
2020-02-16,Oman,0,0,0,0,0,0
2020-02-17,Oman,0,0,0,0,0,0
2020-02-18,Oman,0,0,0,0,0,0
2020-02-19,Oman,0,0,0,0,0,0
2020-02-20,Oman,0,0,0,0,0,0
2020-02-21,Oman,0,0,0,0,0,0
2020-02-22,Oman,0,0,0,0,0,0
2020-02-23,Oman,0,0,0,0,0,0
2020-02-24,Oman,2,0,0,2,0,0
2020-02-25,Oman,0,0,0,2,0,0
2020-02-26,Oman,2,0,0,4,0,0
2020-02-27,Oman,0,0,0,4,0,0
2020-02-28,Oman,0,0,0,4,0,0
2020-02-29,Oman,2,1,0,6,1,0
2020-03-01,Oman,0,0,0,6,1,0
2020-03-02,Oman,0,0,0,6,1,0
2020-03-03,Oman,6,1,0,12,2,0
2020-03-04,Oman,3,0,0,15,2,0
2020-03-05,Oman,1,0,0,16,2,0
2020-03-06,Oman,0,0,0,16,2,0
2020-03-07,Oman,0,0,0,16,2,0
2020-03-08,Oman,0,0,0,16,2,0
2020-03-09,Oman,0,0,0,16,2,0
2020-03-10,Oman,2,7,0,18,9,0
2020-03-11,Oman,0,0,0,18,9,0
2020-03-12,Oman,0,0,0,18,9,0
2020-03-13,Oman,1,0,0,19,9,0
2020-03-14,Oman,0,0,0,19,9,0
2020-03-15,Oman,3,0,0,22,9,0
2020-03-16,Oman,0,0,0,22,9,0
2020-03-17,Oman,2,0,0,24,9,0
2020-03-18,Oman,15,3,0,39,12,0
2020-03-19,Oman,9,0,0,48,12,0
2020-03-20,Oman,0,0,0,48,12,0
2020-03-21,Oman,4,0,0,52,12,0
2020-03-22,Oman,3,5,0,55,17,0
2020-03-23,Oman,11,0,0,66,17,0
2020-03-24,Oman,18,0,0,84,17,0
2020-03-25,Oman,15,0,0,99,17,0
2020-03-26,Oman,10,6,0,109,23,0
2020-03-27,Oman,22,0,0,131,23,0
2020-03-28,Oman,21,0,0,152,23,0
2020-03-29,Oman,15,0,0,167,23,0
2020-03-30,Oman,12,6,0,179,29,0
2020-03-31,Oman,13,5,1,192,34,1
2020-04-01,Oman,18,0,0,210,34,1
2020-04-02,Oman,21,23,0,231,57,1
2020-04-03,Oman,21,0,0,252,57,1
2020-04-04,Oman,25,4,1,277,61,2
2020-04-05,Oman,21,0,0,298,61,2
