Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Libya,0,0,0,0,0,0
2020-01-24,Libya,0,0,0,0,0,0
2020-01-25,Libya,0,0,0,0,0,0
2020-01-26,Libya,0,0,0,0,0,0
2020-01-27,Libya,0,0,0,0,0,0
2020-01-28,Libya,0,0,0,0,0,0
2020-01-29,Libya,0,0,0,0,0,0
2020-01-30,Libya,0,0,0,0,0,0
2020-01-31,Libya,0,0,0,0,0,0
2020-02-01,Libya,0,0,0,0,0,0
2020-02-02,Libya,0,0,0,0,0,0
2020-02-03,Libya,0,0,0,0,0,0
2020-02-04,Libya,0,0,0,0,0,0
2020-02-05,Libya,0,0,0,0,0,0
2020-02-06,Libya,0,0,0,0,0,0
2020-02-07,Libya,0,0,0,0,0,0
2020-02-08,Libya,0,0,0,0,0,0
2020-02-09,Libya,0,0,0,0,0,0
2020-02-10,Libya,0,0,0,0,0,0
2020-02-11,Libya,0,0,0,0,0,0
2020-02-12,Libya,0,0,0,0,0,0
2020-02-13,Libya,0,0,0,0,0,0
2020-02-14,Libya,0,0,0,0,0,0
2020-02-15,Libya,0,0,0,0,0,0
2020-02-16,Libya,0,0,0,0,0,0
2020-02-17,Libya,0,0,0,0,0,0
2020-02-18,Libya,0,0,0,0,0,0
2020-02-19,Libya,0,0,0,0,0,0
2020-02-20,Libya,0,0,0,0,0,0
2020-02-21,Libya,0,0,0,0,0,0
2020-02-22,Libya,0,0,0,0,0,0
2020-02-23,Libya,0,0,0,0,0,0
2020-02-24,Libya,0,0,0,0,0,0
2020-02-25,Libya,0,0,0,0,0,0
2020-02-26,Libya,0,0,0,0,0,0
2020-02-27,Libya,0,0,0,0,0,0
2020-02-28,Libya,0,0,0,0,0,0
2020-02-29,Libya,0,0,0,0,0,0
2020-03-01,Libya,0,0,0,0,0,0
2020-03-02,Libya,0,0,0,0,0,0
2020-03-03,Libya,0,0,0,0,0,0
2020-03-04,Libya,0,0,0,0,0,0
2020-03-05,Libya,0,0,0,0,0,0
2020-03-06,Libya,0,0,0,0,0,0
2020-03-07,Libya,0,0,0,0,0,0
2020-03-08,Libya,0,0,0,0,0,0
2020-03-09,Libya,0,0,0,0,0,0
2020-03-10,Libya,0,0,0,0,0,0
2020-03-11,Libya,0,0,0,0,0,0
2020-03-12,Libya,0,0,0,0,0,0
2020-03-13,Libya,0,0,0,0,0,0
2020-03-14,Libya,0,0,0,0,0,0
2020-03-15,Libya,0,0,0,0,0,0
2020-03-16,Libya,0,0,0,0,0,0
2020-03-17,Libya,0,0,0,0,0,0
2020-03-18,Libya,0,0,0,0,0,0
2020-03-19,Libya,0,0,0,0,0,0
2020-03-20,Libya,0,0,0,0,0,0
2020-03-21,Libya,0,0,0,0,0,0
2020-03-22,Libya,0,0,0,0,0,0
2020-03-23,Libya,0,0,0,0,0,0
2020-03-24,Libya,1,0,0,1,0,0
2020-03-25,Libya,0,0,0,1,0,0
2020-03-26,Libya,0,0,0,1,0,0
2020-03-27,Libya,0,0,0,1,0,0
2020-03-28,Libya,2,0,0,3,0,0
2020-03-29,Libya,5,0,0,8,0,0
2020-03-30,Libya,0,0,0,8,0,0
2020-03-31,Libya,2,1,0,10,1,0
2020-04-01,Libya,0,-1,0,10,0,0
2020-04-02,Libya,1,0,1,11,0,1
2020-04-03,Libya,0,0,0,11,0,1
2020-04-04,Libya,7,0,0,18,0,1
2020-04-05,Libya,0,0,0,18,0,1
2020-04-06,Libya,1,1,0,19,1,1
2020-04-07,Libya,1,0,0,20,1,1
2020-04-08,Libya,1,7,0,21,8,1
2020-04-09,Libya,3,0,0,24,8,1
2020-04-10,Libya,0,0,0,24,8,1
2020-04-11,Libya,0,0,0,24,8,1
2020-04-12,Libya,1,1,0,25,9,1
2020-04-13,Libya,1,0,0,26,9,1
2020-04-14,Libya,9,0,0,35,9,1
2020-04-15,Libya,13,0,0,48,9,1
2020-04-16,Libya,1,2,0,49,11,1
2020-04-17,Libya,0,0,0,49,11,1
2020-04-18,Libya,0,0,0,49,11,1
2020-04-19,Libya,2,0,0,51,11,1
2020-04-20,Libya,0,4,0,51,15,1
2020-04-21,Libya,0,0,0,51,15,1
2020-04-22,Libya,8,0,0,59,15,1
2020-04-23,Libya,1,0,1,60,15,2
2020-04-24,Libya,1,3,0,61,18,2
2020-04-25,Libya,0,0,0,61,18,2
2020-04-26,Libya,0,0,0,61,18,2
2020-04-27,Libya,0,0,0,61,18,2
2020-04-28,Libya,0,0,0,61,18,2
2020-04-29,Libya,0,0,0,61,18,2
2020-04-30,Libya,0,0,1,61,18,3
2020-05-01,Libya,2,0,0,63,18,3
2020-05-02,Libya,0,4,0,63,22,3
2020-05-03,Libya,0,0,0,63,22,3
2020-05-04,Libya,0,1,0,63,23,3
2020-05-05,Libya,0,0,0,63,23,3
2020-05-06,Libya,1,1,0,64,24,3
2020-05-07,Libya,0,0,0,64,24,3
2020-05-08,Libya,0,0,0,64,24,3
2020-05-09,Libya,0,0,0,64,24,3
2020-05-10,Libya,0,0,0,64,24,3
2020-05-11,Libya,0,4,0,64,28,3
2020-05-12,Libya,0,0,0,64,28,3
2020-05-13,Libya,0,0,0,64,28,3
2020-05-14,Libya,0,0,0,64,28,3
2020-05-15,Libya,0,0,0,64,28,3
2020-05-16,Libya,1,0,0,65,28,3
2020-05-17,Libya,0,7,0,65,35,3
2020-05-18,Libya,0,0,0,65,35,3
2020-05-19,Libya,3,0,0,68,35,3
2020-05-20,Libya,1,0,0,69,35,3
2020-05-21,Libya,2,0,0,71,35,3
2020-05-22,Libya,1,3,0,72,38,3
2020-05-23,Libya,3,1,0,75,39,3
2020-05-24,Libya,0,0,0,75,39,3
2020-05-25,Libya,0,1,0,75,40,3
2020-05-26,Libya,2,0,0,77,40,3
2020-05-27,Libya,22,0,1,99,40,4
2020-05-28,Libya,6,1,1,105,41,5
2020-05-29,Libya,13,0,0,118,41,5
2020-05-30,Libya,12,9,0,130,50,5
2020-05-31,Libya,26,2,0,156,52,5
2020-06-01,Libya,12,0,0,168,52,5
2020-06-02,Libya,14,0,0,182,52,5
2020-06-03,Libya,14,0,0,196,52,5
2020-06-04,Libya,13,0,0,209,52,5
2020-06-05,Libya,30,0,0,239,52,5
2020-06-06,Libya,17,0,0,256,52,5
2020-06-07,Libya,0,0,0,256,52,5
2020-06-08,Libya,76,5,0,332,57,5
2020-06-09,Libya,27,1,0,359,58,5
2020-06-10,Libya,19,1,0,378,59,5
2020-06-11,Libya,15,0,0,393,59,5
2020-06-12,Libya,16,0,1,409,59,6
2020-06-13,Libya,9,3,2,418,62,8
2020-06-14,Libya,36,1,2,454,63,10
2020-06-15,Libya,13,7,0,467,70,10
2020-06-16,Libya,17,6,0,484,76,10
2020-06-17,Libya,16,2,0,500,78,10
2020-06-18,Libya,10,3,0,510,81,10
2020-06-19,Libya,10,2,0,520,83,10
2020-06-20,Libya,24,15,0,544,98,10
2020-06-21,Libya,27,5,0,571,103,10
2020-06-22,Libya,24,13,0,595,116,10
2020-06-23,Libya,44,16,7,639,132,17
2020-06-24,Libya,31,6,1,670,138,18
2020-06-25,Libya,28,2,0,698,140,18
2020-06-26,Libya,15,2,0,713,142,18
2020-06-27,Libya,14,29,0,727,171,18
2020-06-28,Libya,35,25,3,762,196,21
2020-06-29,Libya,40,10,2,802,206,23
2020-06-30,Libya,22,3,1,824,209,24
2020-07-01,Libya,50,14,1,874,223,25
2020-07-02,Libya,17,1,1,891,224,26
2020-07-03,Libya,27,6,1,918,230,27
2020-07-04,Libya,71,28,0,989,258,27
2020-07-05,Libya,57,3,5,1046,261,32
2020-07-06,Libya,71,8,2,1117,269,34
2020-07-07,Libya,65,26,1,1182,295,35
2020-07-08,Libya,86,11,1,1268,306,36
2020-07-09,Libya,74,1,2,1342,307,38
2020-07-10,Libya,0,0,0,1342,307,38
2020-07-11,Libya,47,33,0,1389,340,38
2020-07-12,Libya,44,1,1,1433,341,39
2020-07-13,Libya,79,26,1,1512,367,40
2020-07-14,Libya,51,3,2,1563,370,42
2020-07-15,Libya,26,3,1,1589,373,43
2020-07-16,Libya,63,6,3,1652,379,46
2020-07-17,Libya,52,1,1,1704,380,47
2020-07-18,Libya,87,5,1,1791,385,48
2020-07-19,Libya,75,33,0,1866,418,48
2020-07-20,Libya,114,23,1,1980,441,49
2020-07-21,Libya,108,38,1,2088,479,50
2020-07-22,Libya,88,10,3,2176,489,53
2020-07-23,Libya,138,12,3,2314,501,56
2020-07-24,Libya,110,3,1,2424,504,57
2020-07-25,Libya,123,6,1,2547,510,58
2020-07-26,Libya,122,43,2,2669,553,60
2020-07-27,Libya,158,24,4,2827,577,64
2020-07-28,Libya,190,2,3,3017,579,67
2020-07-29,Libya,205,17,9,3222,596,76
2020-07-30,Libya,216,8,-3,3438,604,73
2020-07-31,Libya,183,14,1,3621,618,74
2020-08-01,Libya,70,1,6,3691,619,80
2020-08-02,Libya,146,4,3,3837,623,83
2020-08-03,Libya,226,2,10,4063,625,93
2020-08-04,Libya,161,8,3,4224,633,96
2020-08-05,Libya,251,7,3,4475,640,99
2020-08-06,Libya,404,12,8,4879,652,107
2020-08-07,Libya,200,8,1,5079,660,108
2020-08-08,Libya,153,31,5,5232,691,113
2020-08-09,Libya,219,10,6,5451,701,119
2020-08-10,Libya,478,23,6,5929,724,125
2020-08-11,Libya,373,16,7,6302,740,132
2020-08-12,Libya,309,38,0,6611,778,132
2020-08-13,Libya,439,38,3,7050,816,135
2020-08-14,Libya,277,32,4,7327,848,139
2020-08-15,Libya,411,46,6,7738,894,145
2020-08-16,Libya,434,39,8,8172,933,153
2020-08-17,Libya,407,36,4,8579,969,157
2020-08-18,Libya,489,34,7,9068,1003,164
2020-08-19,Libya,395,15,5,9463,1018,169
2020-08-20,Libya,244,29,4,9707,1047,173
2020-08-21,Libya,414,6,7,10121,1053,180
2020-08-22,Libya,316,32,8,10437,1085,188
2020-08-23,Libya,0,0,0,10437,1085,188
2020-08-24,Libya,572,11,11,11009,1096,199
2020-08-25,Libya,272,16,4,11281,1112,203
2020-08-26,Libya,553,40,7,11834,1152,210
2020-08-27,Libya,440,57,9,12274,1209,219
2020-08-28,Libya,355,101,7,12629,1310,226
2020-08-29,Libya,329,23,5,12958,1333,231
2020-08-30,Libya,465,77,1,13423,1410,232
2020-08-31,Libya,543,49,5,13966,1459,237
2020-09-01,Libya,658,217,5,14624,1676,242
2020-09-02,Libya,532,70,8,15156,1746,250
2020-09-03,Libya,617,110,4,15773,1856,254
2020-09-04,Libya,672,54,8,16445,1910,262
2020-09-05,Libya,649,115,10,17094,2025,272
2020-09-06,Libya,655,56,13,17749,2081,285
2020-09-07,Libya,1085,45,11,18834,2126,296
2020-09-08,Libya,749,121,18,19583,2247,314
2020-09-09,Libya,879,82,10,20462,2329,324
2020-09-10,Libya,477,91,15,20939,2420,339
2020-09-11,Libya,969,86,13,21908,2506,352
2020-09-12,Libya,440,9594,2,22348,12100,354
2020-09-13,Libya,433,83,8,22781,12183,362
2020-09-14,Libya,734,579,6,23515,12762,368
2020-09-15,Libya,629,490,15,24144,13252,383
2020-09-16,Libya,792,246,11,24936,13498,394
2020-09-17,Libya,886,410,15,25822,13908,409
2020-09-18,Libya,616,299,9,26438,14207,418
2020-09-19,Libya,796,472,18,27234,14679,436
2020-09-20,Libya,715,389,8,27949,15068,444
2020-09-21,Libya,847,316,6,28796,15384,450
2020-09-22,Libya,650,529,10,29446,15913,460
2020-09-23,Libya,651,517,9,30097,16430,469
2020-09-24,Libya,535,412,5,30632,16842,474
2020-09-25,Libya,658,666,17,31290,17508,491
2020-09-26,Libya,538,324,8,31828,17832,499
2020-09-27,Libya,536,296,21,32364,18128,520
