Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Serbia,0,0,0,0,0,0
2020-01-24,Serbia,0,0,0,0,0,0
2020-01-25,Serbia,0,0,0,0,0,0
2020-01-26,Serbia,0,0,0,0,0,0
2020-01-27,Serbia,0,0,0,0,0,0
2020-01-28,Serbia,0,0,0,0,0,0
2020-01-29,Serbia,0,0,0,0,0,0
2020-01-30,Serbia,0,0,0,0,0,0
2020-01-31,Serbia,0,0,0,0,0,0
2020-02-01,Serbia,0,0,0,0,0,0
2020-02-02,Serbia,0,0,0,0,0,0
2020-02-03,Serbia,0,0,0,0,0,0
2020-02-04,Serbia,0,0,0,0,0,0
2020-02-05,Serbia,0,0,0,0,0,0
2020-02-06,Serbia,0,0,0,0,0,0
2020-02-07,Serbia,0,0,0,0,0,0
2020-02-08,Serbia,0,0,0,0,0,0
2020-02-09,Serbia,0,0,0,0,0,0
2020-02-10,Serbia,0,0,0,0,0,0
2020-02-11,Serbia,0,0,0,0,0,0
2020-02-12,Serbia,0,0,0,0,0,0
2020-02-13,Serbia,0,0,0,0,0,0
2020-02-14,Serbia,0,0,0,0,0,0
2020-02-15,Serbia,0,0,0,0,0,0
2020-02-16,Serbia,0,0,0,0,0,0
2020-02-17,Serbia,0,0,0,0,0,0
2020-02-18,Serbia,0,0,0,0,0,0
2020-02-19,Serbia,0,0,0,0,0,0
2020-02-20,Serbia,0,0,0,0,0,0
2020-02-21,Serbia,0,0,0,0,0,0
2020-02-22,Serbia,0,0,0,0,0,0
2020-02-23,Serbia,0,0,0,0,0,0
2020-02-24,Serbia,0,0,0,0,0,0
2020-02-25,Serbia,0,0,0,0,0,0
2020-02-26,Serbia,0,0,0,0,0,0
2020-02-27,Serbia,0,0,0,0,0,0
2020-02-28,Serbia,0,0,0,0,0,0
2020-02-29,Serbia,0,0,0,0,0,0
2020-03-01,Serbia,0,0,0,0,0,0
2020-03-02,Serbia,0,0,0,0,0,0
2020-03-03,Serbia,0,0,0,0,0,0
2020-03-04,Serbia,0,0,0,0,0,0
2020-03-05,Serbia,0,0,0,0,0,0
2020-03-06,Serbia,1,0,0,1,0,0
2020-03-07,Serbia,0,0,0,1,0,0
2020-03-08,Serbia,0,0,0,1,0,0
2020-03-09,Serbia,0,0,0,1,0,0
2020-03-10,Serbia,4,0,0,5,0,0
2020-03-11,Serbia,7,0,0,12,0,0
2020-03-12,Serbia,7,0,0,19,0,0
2020-03-13,Serbia,16,0,0,35,0,0
2020-03-14,Serbia,11,0,0,46,0,0
2020-03-15,Serbia,2,0,0,48,0,0
2020-03-16,Serbia,7,1,0,55,1,0
2020-03-17,Serbia,10,0,0,65,1,0
2020-03-18,Serbia,18,0,0,83,1,0
2020-03-19,Serbia,20,0,0,103,1,0
2020-03-20,Serbia,32,0,1,135,1,1
2020-03-21,Serbia,36,0,0,171,1,1
2020-03-22,Serbia,51,0,1,222,1,2
2020-03-23,Serbia,27,0,1,249,1,3
2020-03-24,Serbia,54,14,0,303,15,3
2020-03-25,Serbia,81,0,1,384,15,4
2020-03-26,Serbia,0,-15,-3,384,0,1
2020-03-27,Serbia,73,0,0,457,0,1
2020-03-28,Serbia,202,0,9,659,0,10
2020-03-29,Serbia,82,0,3,741,0,13
2020-03-30,Serbia,44,0,3,785,0,16
2020-03-31,Serbia,115,0,0,900,0,16
2020-04-01,Serbia,160,0,12,1060,0,28
2020-04-02,Serbia,111,0,3,1171,0,31
2020-04-03,Serbia,305,0,8,1476,0,39
2020-04-04,Serbia,148,0,5,1624,0,44
2020-04-05,Serbia,284,0,7,1908,0,51
2020-04-06,Serbia,292,0,7,2200,0,58
2020-04-07,Serbia,247,0,3,2447,0,61
2020-04-08,Serbia,219,0,4,2666,0,65
2020-04-09,Serbia,201,0,1,2867,0,66
2020-04-10,Serbia,238,0,5,3105,0,71
2020-04-11,Serbia,275,0,3,3380,0,74
2020-04-12,Serbia,250,0,6,3630,0,80
2020-04-13,Serbia,424,0,5,4054,0,85
2020-04-14,Serbia,411,0,9,4465,0,94
2020-04-15,Serbia,408,0,5,4873,0,99
2020-04-16,Serbia,445,0,4,5318,0,103
2020-04-17,Serbia,372,534,7,5690,534,110
2020-04-18,Serbia,304,103,7,5994,637,117
2020-04-19,Serbia,324,116,5,6318,753,122
2020-04-20,Serbia,312,117,3,6630,870,125
2020-04-21,Serbia,260,107,5,6890,977,130
2020-04-22,Serbia,254,48,4,7144,1025,134
2020-04-23,Serbia,132,42,5,7276,1067,139
2020-04-24,Serbia,207,27,5,7483,1094,144
2020-04-25,Serbia,296,58,7,7779,1152,151
2020-04-26,Serbia,263,30,5,8042,1182,156
2020-04-27,Serbia,233,27,6,8275,1209,162
2020-04-28,Serbia,222,51,6,8497,1260,168
2020-04-29,Serbia,227,32,5,8724,1292,173
2020-04-30,Serbia,285,51,6,9009,1343,179
2020-05-01,Serbia,0,0,0,9009,1343,179
2020-05-02,Serbia,353,83,10,9362,1426,189
2020-05-03,Serbia,102,125,4,9464,1551,193
2020-05-04,Serbia,93,23,4,9557,1574,197
2020-05-05,Serbia,120,149,3,9677,1723,200
2020-05-06,Serbia,114,248,3,9791,1971,203
2020-05-07,Serbia,57,189,3,9848,2160,206
2020-05-08,Serbia,95,293,3,9943,2453,209
2020-05-09,Serbia,89,279,6,10032,2732,215
2020-05-10,Serbia,0,0,0,10032,2732,215
2020-05-11,Serbia,144,558,3,10176,3290,218
2020-05-12,Serbia,67,310,2,10243,3600,220
2020-05-13,Serbia,52,224,2,10295,3824,222
2020-05-14,Serbia,79,260,2,10374,4084,224
2020-05-15,Serbia,64,217,1,10438,4301,225
2020-05-16,Serbia,58,178,3,10496,4479,228
2020-05-17,Serbia,114,234,2,10610,4713,230
2020-05-18,Serbia,89,86,1,10699,4799,231
2020-05-19,Serbia,34,105,3,10733,4904,234
2020-05-20,Serbia,100,163,1,10833,5067,235
2020-05-21,Serbia,86,303,2,10919,5370,237
2020-05-22,Serbia,105,171,0,11024,5541,237
2020-05-23,Serbia,68,158,1,11092,5699,238
