Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Germany,0,0,0,0,0,0
2020-01-24,Germany,0,0,0,0,0,0
2020-01-25,Germany,0,0,0,0,0,0
2020-01-26,Germany,0,0,0,0,0,0
2020-01-27,Germany,1,0,0,1,0,0
2020-01-28,Germany,3,0,0,4,0,0
2020-01-29,Germany,0,0,0,4,0,0
2020-01-30,Germany,0,0,0,4,0,0
2020-01-31,Germany,1,0,0,5,0,0
2020-02-01,Germany,3,0,0,8,0,0
2020-02-02,Germany,2,0,0,10,0,0
2020-02-03,Germany,2,0,0,12,0,0
2020-02-04,Germany,0,0,0,12,0,0
2020-02-05,Germany,0,0,0,12,0,0
2020-02-06,Germany,0,0,0,12,0,0
2020-02-07,Germany,1,0,0,13,0,0
2020-02-08,Germany,0,0,0,13,0,0
2020-02-09,Germany,1,0,0,14,0,0
2020-02-10,Germany,0,0,0,14,0,0
2020-02-11,Germany,2,0,0,16,0,0
2020-02-12,Germany,0,0,0,16,0,0
2020-02-13,Germany,0,1,0,16,1,0
2020-02-14,Germany,0,0,0,16,1,0
2020-02-15,Germany,0,0,0,16,1,0
2020-02-16,Germany,0,0,0,16,1,0
2020-02-17,Germany,0,0,0,16,1,0
2020-02-18,Germany,0,11,0,16,12,0
2020-02-19,Germany,0,0,0,16,12,0
2020-02-20,Germany,0,0,0,16,12,0
2020-02-21,Germany,0,2,0,16,14,0
2020-02-22,Germany,0,0,0,16,14,0
2020-02-23,Germany,0,0,0,16,14,0
2020-02-24,Germany,0,0,0,16,14,0
2020-02-25,Germany,1,0,0,17,14,0
2020-02-26,Germany,10,1,0,27,15,0
2020-02-27,Germany,19,1,0,46,16,0
2020-02-28,Germany,2,0,0,48,16,0
2020-02-29,Germany,31,0,0,79,16,0
2020-03-01,Germany,51,0,0,130,16,0
2020-03-02,Germany,29,0,0,159,16,0
2020-03-03,Germany,37,0,0,196,16,0
2020-03-04,Germany,66,0,0,262,16,0
2020-03-05,Germany,220,0,0,482,16,0
2020-03-06,Germany,188,1,0,670,17,0
2020-03-07,Germany,129,1,0,799,18,0
2020-03-08,Germany,241,0,0,1040,18,0
2020-03-09,Germany,136,0,2,1176,18,2
2020-03-10,Germany,281,0,0,1457,18,2
2020-03-11,Germany,451,7,1,1908,25,3
2020-03-12,Germany,170,0,0,2078,25,3
2020-03-13,Germany,1597,21,4,3675,46,7
2020-03-14,Germany,910,0,2,4585,46,9
2020-03-15,Germany,1210,0,2,5795,46,11
2020-03-16,Germany,1477,21,6,7272,67,17
2020-03-17,Germany,1985,0,7,9257,67,24
2020-03-18,Germany,3070,38,4,12327,105,28
2020-03-19,Germany,2993,8,16,15320,113,44
2020-03-20,Germany,4528,67,23,19848,180,67
2020-03-21,Germany,2365,53,17,22213,233,84
2020-03-22,Germany,2660,33,10,24873,266,94
2020-03-23,Germany,4183,0,29,29056,266,123
2020-03-24,Germany,3930,2977,34,32986,3243,157
2020-03-25,Germany,4337,304,49,37323,3547,206
2020-03-26,Germany,6615,2126,61,43938,5673,267
2020-03-27,Germany,6933,985,75,50871,6658,342
2020-03-28,Germany,6824,1823,91,57695,8481,433
2020-03-29,Germany,4400,730,100,62095,9211,533
2020-03-30,Germany,4790,4289,112,66885,13500,645
2020-03-31,Germany,4923,2600,130,71808,16100,775
2020-04-01,Germany,6064,2600,145,77872,18700,920
2020-04-02,Germany,6922,3740,187,84794,22440,1107
2020-04-03,Germany,6365,2135,168,91159,24575,1275
2020-04-04,Germany,4933,1825,169,96092,26400,1444
2020-04-05,Germany,4031,2300,140,100123,28700,1584
2020-04-06,Germany,3251,0,226,103374,28700,1810
2020-04-07,Germany,4289,7381,206,107663,36081,2016
2020-04-08,Germany,5633,10219,333,113296,46300,2349
2020-04-09,Germany,4885,6107,258,118181,52407,2607
2020-04-10,Germany,3990,1506,160,122171,53913,2767
2020-04-11,Germany,2737,3487,-31,124908,57400,2736
2020-04-12,Germany,2946,2900,286,127854,60300,3022
2020-04-13,Germany,2218,4000,172,130072,64300,3194
2020-04-14,Germany,1287,3900,100,131359,68200,3294
2020-04-15,Germany,3394,4400,510,134753,72600,3804
2020-04-16,Germany,2945,4400,248,137698,77000,4052
2020-04-17,Germany,3699,6114,300,141397,83114,4352
2020-04-18,Germany,1945,2286,107,143342,85400,4459
2020-04-19,Germany,1842,2600,127,145184,88000,4586
2020-04-20,Germany,1881,3500,276,147065,91500,4862
2020-04-21,Germany,1226,3700,171,148291,95200,5033
2020-04-22,Germany,2357,4200,246,150648,99400,5279
2020-04-23,Germany,2481,3900,296,153129,103300,5575
2020-04-24,Germany,1870,6500,185,154999,109800,5760
2020-04-25,Germany,1514,0,117,156513,109800,5877
2020-04-26,Germany,1257,2200,99,157770,112000,5976
2020-04-27,Germany,988,2500,150,158758,114500,6126
2020-04-28,Germany,1154,2900,188,159912,117400,6314
2020-04-29,Germany,1627,3000,153,161539,120400,6467
2020-04-30,Germany,1470,3100,156,163009,123500,6623
2020-05-01,Germany,1068,3400,113,164077,126900,6736
2020-05-02,Germany,890,2100,76,164967,129000,6812
2020-05-03,Germany,697,1600,54,165664,130600,6866
2020-05-04,Germany,488,2100,127,166152,132700,6993
2020-05-05,Germany,855,2400,0,167007,135100,6993
2020-05-06,Germany,1155,4800,282,168162,139900,7275
2020-05-07,Germany,1268,1800,117,169430,141700,7392
2020-05-08,Germany,1158,0,118,170588,141700,7510
2020-05-09,Germany,736,1600,39,171324,143300,7549
2020-05-10,Germany,555,1100,20,171879,144400,7569
2020-05-11,Germany,697,1217,92,172576,145617,7661
2020-05-12,Germany,595,1583,77,173171,147200,7738
2020-05-13,Germany,927,1500,123,174098,148700,7861
2020-05-14,Germany,380,1600,23,174478,150300,7884
2020-05-15,Germany,755,1297,13,175233,151597,7897
2020-05-16,Germany,519,1003,41,175752,152600,7938
2020-05-17,Germany,617,1411,24,176369,154011,7962
2020-05-18,Germany,182,1030,41,176551,155041,8003
2020-05-19,Germany,1227,640,78,177778,155681,8081
2020-05-20,Germany,695,1285,63,178473,156966,8144
2020-05-21,Germany,548,1121,59,179021,158087,8203
2020-05-22,Germany,689,977,25,179710,159064,8228
2020-05-23,Germany,276,652,33,179986,159716,8261
2020-05-24,Germany,342,565,22,180328,160281,8283
2020-05-25,Germany,272,918,26,180600,161199,8309
2020-05-26,Germany,600,768,63,181200,161967,8372
2020-05-27,Germany,324,853,56,181524,162820,8428
2020-05-28,Germany,672,540,42,182196,163360,8470
2020-05-29,Germany,726,885,34,182922,164245,8504
2020-05-30,Germany,267,663,26,183189,164908,8530
2020-05-31,Germany,221,444,10,183410,165352,8540
2020-06-01,Germany,184,280,15,183594,165632,8555
2020-06-02,Germany,285,977,8,183879,166609,8563
2020-06-03,Germany,242,844,39,184121,167453,8602
2020-06-04,Germany,351,456,33,184472,167909,8635
2020-06-05,Germany,452,571,23,184924,168480,8658
2020-06-06,Germany,526,478,15,185450,168958,8673
2020-06-07,Germany,300,266,12,185750,169224,8685
2020-06-08,Germany,359,332,10,186109,169556,8695
2020-06-09,Germany,397,573,41,186506,170129,8736
2020-06-10,Germany,16,501,16,186522,170630,8752
