Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Romania,0,0,0,0,0,0
2020-01-24,Romania,0,0,0,0,0,0
2020-01-25,Romania,0,0,0,0,0,0
2020-01-26,Romania,0,0,0,0,0,0
2020-01-27,Romania,0,0,0,0,0,0
2020-01-28,Romania,0,0,0,0,0,0
2020-01-29,Romania,0,0,0,0,0,0
2020-01-30,Romania,0,0,0,0,0,0
2020-01-31,Romania,0,0,0,0,0,0
2020-02-01,Romania,0,0,0,0,0,0
2020-02-02,Romania,0,0,0,0,0,0
2020-02-03,Romania,0,0,0,0,0,0
2020-02-04,Romania,0,0,0,0,0,0
2020-02-05,Romania,0,0,0,0,0,0
2020-02-06,Romania,0,0,0,0,0,0
2020-02-07,Romania,0,0,0,0,0,0
2020-02-08,Romania,0,0,0,0,0,0
2020-02-09,Romania,0,0,0,0,0,0
2020-02-10,Romania,0,0,0,0,0,0
2020-02-11,Romania,0,0,0,0,0,0
2020-02-12,Romania,0,0,0,0,0,0
2020-02-13,Romania,0,0,0,0,0,0
2020-02-14,Romania,0,0,0,0,0,0
2020-02-15,Romania,0,0,0,0,0,0
2020-02-16,Romania,0,0,0,0,0,0
2020-02-17,Romania,0,0,0,0,0,0
2020-02-18,Romania,0,0,0,0,0,0
2020-02-19,Romania,0,0,0,0,0,0
2020-02-20,Romania,0,0,0,0,0,0
2020-02-21,Romania,0,0,0,0,0,0
2020-02-22,Romania,0,0,0,0,0,0
2020-02-23,Romania,0,0,0,0,0,0
2020-02-24,Romania,0,0,0,0,0,0
2020-02-25,Romania,0,0,0,0,0,0
2020-02-26,Romania,1,0,0,1,0,0
2020-02-27,Romania,0,0,0,1,0,0
2020-02-28,Romania,2,0,0,3,0,0
2020-02-29,Romania,0,0,0,3,0,0
2020-03-01,Romania,0,0,0,3,0,0
2020-03-02,Romania,0,0,0,3,0,0
2020-03-03,Romania,0,0,0,3,0,0
2020-03-04,Romania,1,1,0,4,1,0
2020-03-05,Romania,2,0,0,6,1,0
2020-03-06,Romania,3,0,0,9,1,0
2020-03-07,Romania,0,2,0,9,3,0
2020-03-08,Romania,6,0,0,15,3,0
2020-03-09,Romania,0,0,0,15,3,0
2020-03-10,Romania,10,0,0,25,3,0
2020-03-11,Romania,20,3,0,45,6,0
2020-03-12,Romania,4,0,0,49,6,0
2020-03-13,Romania,40,1,0,89,7,0
2020-03-14,Romania,34,2,0,123,9,0
2020-03-15,Romania,8,0,0,131,9,0
2020-03-16,Romania,27,0,0,158,9,0
2020-03-17,Romania,26,7,0,184,16,0
2020-03-18,Romania,76,3,0,260,19,0
2020-03-19,Romania,17,6,0,277,25,0
2020-03-20,Romania,31,0,0,308,25,0
2020-03-21,Romania,59,27,0,367,52,0
2020-03-22,Romania,66,12,3,433,64,3
2020-03-23,Romania,143,0,4,576,64,7
2020-03-24,Romania,218,15,4,794,79,11
2020-03-25,Romania,112,7,6,906,86,17
2020-03-26,Romania,123,8,6,1029,94,23
2020-03-27,Romania,263,21,3,1292,115,26
2020-03-28,Romania,160,24,11,1452,139,37
2020-03-29,Romania,363,67,6,1815,206,43
2020-03-30,Romania,294,3,22,2109,209,65
2020-03-31,Romania,136,11,17,2245,220,82
2020-04-01,Romania,215,32,10,2460,252,92
2020-04-02,Romania,278,15,23,2738,267,115
2020-04-03,Romania,445,16,18,3183,283,133
2020-04-04,Romania,430,46,13,3613,329,146
2020-04-05,Romania,251,45,5,3864,374,151
2020-04-06,Romania,193,32,25,4057,406,176
2020-04-07,Romania,360,54,21,4417,460,197
2020-04-08,Romania,344,68,23,4761,528,220
2020-04-09,Romania,441,119,28,5202,647,248
2020-04-10,Romania,265,82,22,5467,729,270
2020-04-11,Romania,523,29,21,5990,758,291
2020-04-12,Romania,310,94,25,6300,852,316
2020-04-13,Romania,333,62,15,6633,914,331
2020-04-14,Romania,246,137,20,6879,1051,351
2020-04-15,Romania,337,166,21,7216,1217,372
2020-04-16,Romania,491,140,20,7707,1357,392
2020-04-17,Romania,360,151,19,8067,1508,411
2020-04-18,Romania,351,222,10,8418,1730,421
2020-04-19,Romania,328,162,30,8746,1892,451
2020-04-20,Romania,190,125,27,8936,2017,478
2020-04-21,Romania,306,136,20,9242,2153,498
2020-04-22,Romania,468,253,26,9710,2406,524
2020-04-23,Romania,386,72,21,10096,2478,545
2020-04-24,Romania,321,339,22,10417,2817,567
2020-04-25,Romania,218,73,34,10635,2890,601
2020-04-26,Romania,401,164,18,11036,3054,619
2020-04-27,Romania,303,87,22,11339,3141,641
2020-04-28,Romania,277,263,22,11616,3404,663
2020-04-29,Romania,362,165,30,11978,3569,693
2020-04-30,Romania,262,448,24,12240,4017,717
2020-05-01,Romania,327,311,27,12567,4328,744
2020-05-02,Romania,165,219,27,12732,4547,771
2020-05-03,Romania,431,322,19,13163,4869,790
2020-05-04,Romania,349,400,28,13512,5269,818
2020-05-05,Romania,325,185,23,13837,5454,841
2020-05-06,Romania,270,334,23,14107,5788,864
2020-05-07,Romania,392,356,24,14499,6144,888
2020-05-08,Romania,312,279,35,14811,6423,923
2020-05-09,Romania,320,489,16,15131,6912,939
2020-05-10,Romania,231,139,22,15362,7051,961
2020-05-11,Romania,226,194,21,15588,7245,982
2020-05-12,Romania,190,440,20,15778,7685,1002
2020-05-13,Romania,224,276,34,16002,7961,1036
2020-05-14,Romania,245,1092,17,16247,9053,1053
2020-05-15,Romania,190,317,17,16437,9370,1070
2020-05-16,Romania,267,204,24,16704,9574,1094
2020-05-17,Romania,167,316,13,16871,9890,1107
2020-05-18,Romania,165,40,13,17036,9930,1120
2020-05-19,Romania,155,236,17,17191,10166,1137
2020-05-20,Romania,196,190,10,17387,10356,1147
2020-05-21,Romania,198,225,9,17585,10581,1156
2020-05-22,Romania,127,196,10,17712,10777,1166
2020-05-23,Romania,145,410,10,17857,11187,1176
2020-05-24,Romania,213,212,9,18070,11399,1185
2020-05-25,Romania,213,231,20,18283,11630,1205
2020-05-26,Romania,146,244,11,18429,11874,1216
2020-05-27,Romania,165,288,11,18594,12162,1227
2020-05-28,Romania,197,467,8,18791,12629,1235
2020-05-29,Romania,191,200,13,18982,12829,1248
2020-05-30,Romania,151,217,11,19133,13046,1259
2020-05-31,Romania,124,210,7,19257,13256,1266
2020-06-01,Romania,141,170,10,19398,13426,1276
2020-06-02,Romania,119,100,12,19517,13526,1288
2020-06-03,Romania,152,274,8,19669,13800,1296
2020-06-04,Romania,238,119,9,19907,13919,1305
2020-06-05,Romania,196,226,11,20103,14145,1316
2020-06-06,Romania,187,274,6,20290,14419,1322
2020-06-07,Romania,189,219,11,20479,14638,1333
2020-06-08,Romania,125,188,6,20604,14826,1339
2020-06-09,Romania,145,84,15,20749,14910,1354
2020-06-10,Romania,196,193,6,20945,15103,1360
2020-06-11,Romania,237,180,9,21182,15283,1369
2020-06-12,Romania,222,162,11,21404,15445,1380
2020-06-13,Romania,275,190,14,21679,15635,1394
2020-06-14,Romania,320,84,16,21999,15719,1410
2020-06-15,Romania,166,98,17,22165,15817,1427
2020-06-16,Romania,250,254,10,22415,16071,1437
2020-06-17,Romania,345,46,14,22760,16117,1451
2020-06-18,Romania,320,191,22,23080,16308,1473
2020-06-19,Romania,320,247,11,23400,16555,1484
2020-06-20,Romania,330,180,16,23730,16735,1500
2020-06-21,Romania,315,176,12,24045,16911,1512
2020-06-22,Romania,246,120,11,24291,17031,1523
2020-06-23,Romania,214,156,16,24505,17187,1539
2020-06-24,Romania,321,204,16,24826,17391,1555
2020-06-25,Romania,460,515,10,25286,17906,1565
2020-06-26,Romania,411,275,14,25697,18181,1579
2020-06-27,Romania,325,349,10,26022,18530,1589
2020-06-28,Romania,291,284,23,26313,18814,1612
2020-06-29,Romania,269,98,22,26582,18912,1634
2020-06-30,Romania,388,138,17,26970,19050,1651
2020-07-01,Romania,326,264,16,27296,19314,1667
2020-07-02,Romania,450,49,20,27746,19363,1687
2020-07-03,Romania,420,182,21,28166,19545,1708
2020-07-04,Romania,416,309,23,28582,19854,1731
2020-07-05,Romania,391,172,19,28973,20026,1750
2020-07-06,Romania,250,187,18,29223,20213,1768
2020-07-07,Romania,397,321,31,29620,20534,1799
2020-07-08,Romania,555,265,18,30175,20799,1817
2020-07-09,Romania,614,170,17,30789,20969,1834
2020-07-10,Romania,592,160,13,31381,21129,1847
2020-07-11,Romania,698,285,24,32079,21414,1871
2020-07-12,Romania,456,131,13,32535,21545,1884
2020-07-13,Romania,413,147,17,32948,21692,1901
2020-07-14,Romania,637,111,30,33585,21803,1931
2020-07-15,Romania,641,246,21,34226,22049,1952
2020-07-16,Romania,777,140,19,35003,22189,1971
2020-07-17,Romania,799,123,17,35802,22312,1988
2020-07-18,Romania,889,176,21,36691,22488,2009
2020-07-19,Romania,767,129,17,37458,22617,2026
2020-07-20,Romania,681,130,12,38139,22747,2038
2020-07-21,Romania,994,1707,36,39133,24454,2074
2020-07-22,Romania,1030,209,27,40163,24663,2101
2020-07-23,Romania,1112,199,25,41275,24862,2126
2020-07-24,Romania,1119,487,24,42394,25349,2150
2020-07-25,Romania,1284,24,15,43678,25373,2165
2020-07-26,Romania,1120,270,22,44798,25643,2187
2020-07-27,Romania,1104,151,19,45902,25794,2206
2020-07-28,Romania,1151,334,33,47053,26128,2239
2020-07-29,Romania,1182,318,30,48235,26446,2269
2020-07-30,Romania,1356,163,35,49591,26609,2304
2020-07-31,Romania,1295,398,39,50886,27007,2343
2020-08-01,Romania,1225,339,36,52111,27346,2379
2020-08-02,Romania,1075,246,34,53186,27592,2413
2020-08-03,Romania,823,158,19,54009,27750,2432
2020-08-04,Romania,1232,256,48,55241,28006,2480
2020-08-05,Romania,1309,578,41,56550,28584,2521
2020-08-06,Romania,1345,408,45,57895,28992,2566
2020-08-07,Romania,1378,297,50,59273,29289,2616
2020-08-08,Romania,1350,583,43,60623,29872,2659
2020-08-09,Romania,1145,247,41,61768,30119,2700
2020-08-10,Romania,779,192,29,62547,30311,2729
2020-08-11,Romania,1215,274,35,63762,30585,2764
