Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Philippines,0,0,0,0,0,0
2020-01-24,Philippines,0,0,0,0,0,0
2020-01-25,Philippines,0,0,0,0,0,0
2020-01-26,Philippines,0,0,0,0,0,0
2020-01-27,Philippines,0,0,0,0,0,0
2020-01-28,Philippines,0,0,0,0,0,0
2020-01-29,Philippines,0,0,0,0,0,0
2020-01-30,Philippines,1,0,0,1,0,0
2020-01-31,Philippines,0,0,0,1,0,0
2020-02-01,Philippines,0,0,0,1,0,0
2020-02-02,Philippines,1,0,1,2,0,1
2020-02-03,Philippines,0,0,0,2,0,1
2020-02-04,Philippines,0,0,0,2,0,1
2020-02-05,Philippines,0,0,0,2,0,1
2020-02-06,Philippines,0,0,0,2,0,1
2020-02-07,Philippines,1,0,0,3,0,1
2020-02-08,Philippines,0,0,0,3,0,1
2020-02-09,Philippines,0,0,0,3,0,1
2020-02-10,Philippines,0,0,0,3,0,1
2020-02-11,Philippines,0,0,0,3,0,1
2020-02-12,Philippines,0,1,0,3,1,1
2020-02-13,Philippines,0,0,0,3,1,1
2020-02-14,Philippines,0,0,0,3,1,1
2020-02-15,Philippines,0,0,0,3,1,1
2020-02-16,Philippines,0,0,0,3,1,1
2020-02-17,Philippines,0,0,0,3,1,1
2020-02-18,Philippines,0,0,0,3,1,1
2020-02-19,Philippines,0,0,0,3,1,1
2020-02-20,Philippines,0,0,0,3,1,1
2020-02-21,Philippines,0,0,0,3,1,1
2020-02-22,Philippines,0,0,0,3,1,1
2020-02-23,Philippines,0,0,0,3,1,1
2020-02-24,Philippines,0,0,0,3,1,1
2020-02-25,Philippines,0,0,0,3,1,1
2020-02-26,Philippines,0,0,0,3,1,1
2020-02-27,Philippines,0,0,0,3,1,1
2020-02-28,Philippines,0,0,0,3,1,1
2020-02-29,Philippines,0,0,0,3,1,1
2020-03-01,Philippines,0,0,0,3,1,1
2020-03-02,Philippines,0,0,0,3,1,1
2020-03-03,Philippines,0,0,0,3,1,1
2020-03-04,Philippines,0,0,0,3,1,1
2020-03-05,Philippines,0,0,0,3,1,1
2020-03-06,Philippines,2,0,0,5,1,1
2020-03-07,Philippines,1,0,0,6,1,1
2020-03-08,Philippines,4,0,0,10,1,1
2020-03-09,Philippines,10,0,0,20,1,1
2020-03-10,Philippines,13,1,0,33,2,1
2020-03-11,Philippines,16,0,0,49,2,1
2020-03-12,Philippines,3,0,1,52,2,2
