Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Nigeria,0,0,0,0,0,0
2020-01-24,Nigeria,0,0,0,0,0,0
2020-01-25,Nigeria,0,0,0,0,0,0
2020-01-26,Nigeria,0,0,0,0,0,0
2020-01-27,Nigeria,0,0,0,0,0,0
2020-01-28,Nigeria,0,0,0,0,0,0
2020-01-29,Nigeria,0,0,0,0,0,0
2020-01-30,Nigeria,0,0,0,0,0,0
2020-01-31,Nigeria,0,0,0,0,0,0
2020-02-01,Nigeria,0,0,0,0,0,0
2020-02-02,Nigeria,0,0,0,0,0,0
2020-02-03,Nigeria,0,0,0,0,0,0
2020-02-04,Nigeria,0,0,0,0,0,0
2020-02-05,Nigeria,0,0,0,0,0,0
2020-02-06,Nigeria,0,0,0,0,0,0
2020-02-07,Nigeria,0,0,0,0,0,0
2020-02-08,Nigeria,0,0,0,0,0,0
2020-02-09,Nigeria,0,0,0,0,0,0
2020-02-10,Nigeria,0,0,0,0,0,0
2020-02-11,Nigeria,0,0,0,0,0,0
2020-02-12,Nigeria,0,0,0,0,0,0
2020-02-13,Nigeria,0,0,0,0,0,0
2020-02-14,Nigeria,0,0,0,0,0,0
2020-02-15,Nigeria,0,0,0,0,0,0
2020-02-16,Nigeria,0,0,0,0,0,0
2020-02-17,Nigeria,0,0,0,0,0,0
2020-02-18,Nigeria,0,0,0,0,0,0
2020-02-19,Nigeria,0,0,0,0,0,0
2020-02-20,Nigeria,0,0,0,0,0,0
2020-02-21,Nigeria,0,0,0,0,0,0
2020-02-22,Nigeria,0,0,0,0,0,0
2020-02-23,Nigeria,0,0,0,0,0,0
2020-02-24,Nigeria,0,0,0,0,0,0
2020-02-25,Nigeria,0,0,0,0,0,0
2020-02-26,Nigeria,0,0,0,0,0,0
2020-02-27,Nigeria,0,0,0,0,0,0
2020-02-28,Nigeria,1,0,0,1,0,0
2020-02-29,Nigeria,0,0,0,1,0,0
2020-03-01,Nigeria,0,0,0,1,0,0
2020-03-02,Nigeria,0,0,0,1,0,0
2020-03-03,Nigeria,0,0,0,1,0,0
2020-03-04,Nigeria,0,0,0,1,0,0
2020-03-05,Nigeria,0,0,0,1,0,0
2020-03-06,Nigeria,0,0,0,1,0,0
2020-03-07,Nigeria,0,0,0,1,0,0
2020-03-08,Nigeria,0,0,0,1,0,0
2020-03-09,Nigeria,1,0,0,2,0,0
2020-03-10,Nigeria,0,0,0,2,0,0
2020-03-11,Nigeria,0,0,0,2,0,0
2020-03-12,Nigeria,0,0,0,2,0,0
2020-03-13,Nigeria,0,0,0,2,0,0
2020-03-14,Nigeria,0,0,0,2,0,0
2020-03-15,Nigeria,0,0,0,2,0,0
2020-03-16,Nigeria,0,0,0,2,0,0
2020-03-17,Nigeria,1,0,0,3,0,0
2020-03-18,Nigeria,5,1,0,8,1,0
2020-03-19,Nigeria,0,0,0,8,1,0
2020-03-20,Nigeria,4,0,0,12,1,0
2020-03-21,Nigeria,10,0,0,22,1,0
2020-03-22,Nigeria,8,1,0,30,2,0
2020-03-23,Nigeria,10,0,1,40,2,1
2020-03-24,Nigeria,4,0,0,44,2,1
2020-03-25,Nigeria,7,0,0,51,2,1
