Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Costa Rica,0,0,0,0,0,0
2020-01-24,Costa Rica,0,0,0,0,0,0
2020-01-25,Costa Rica,0,0,0,0,0,0
2020-01-26,Costa Rica,0,0,0,0,0,0
2020-01-27,Costa Rica,0,0,0,0,0,0
2020-01-28,Costa Rica,0,0,0,0,0,0
2020-01-29,Costa Rica,0,0,0,0,0,0
2020-01-30,Costa Rica,0,0,0,0,0,0
2020-01-31,Costa Rica,0,0,0,0,0,0
2020-02-01,Costa Rica,0,0,0,0,0,0
2020-02-02,Costa Rica,0,0,0,0,0,0
2020-02-03,Costa Rica,0,0,0,0,0,0
2020-02-04,Costa Rica,0,0,0,0,0,0
2020-02-05,Costa Rica,0,0,0,0,0,0
2020-02-06,Costa Rica,0,0,0,0,0,0
2020-02-07,Costa Rica,0,0,0,0,0,0
2020-02-08,Costa Rica,0,0,0,0,0,0
2020-02-09,Costa Rica,0,0,0,0,0,0
2020-02-10,Costa Rica,0,0,0,0,0,0
2020-02-11,Costa Rica,0,0,0,0,0,0
2020-02-12,Costa Rica,0,0,0,0,0,0
2020-02-13,Costa Rica,0,0,0,0,0,0
2020-02-14,Costa Rica,0,0,0,0,0,0
2020-02-15,Costa Rica,0,0,0,0,0,0
2020-02-16,Costa Rica,0,0,0,0,0,0
2020-02-17,Costa Rica,0,0,0,0,0,0
2020-02-18,Costa Rica,0,0,0,0,0,0
2020-02-19,Costa Rica,0,0,0,0,0,0
2020-02-20,Costa Rica,0,0,0,0,0,0
2020-02-21,Costa Rica,0,0,0,0,0,0
2020-02-22,Costa Rica,0,0,0,0,0,0
2020-02-23,Costa Rica,0,0,0,0,0,0
2020-02-24,Costa Rica,0,0,0,0,0,0
2020-02-25,Costa Rica,0,0,0,0,0,0
2020-02-26,Costa Rica,0,0,0,0,0,0
2020-02-27,Costa Rica,0,0,0,0,0,0
2020-02-28,Costa Rica,0,0,0,0,0,0
2020-02-29,Costa Rica,0,0,0,0,0,0
2020-03-01,Costa Rica,0,0,0,0,0,0
2020-03-02,Costa Rica,0,0,0,0,0,0
2020-03-03,Costa Rica,0,0,0,0,0,0
2020-03-04,Costa Rica,0,0,0,0,0,0
2020-03-05,Costa Rica,0,0,0,0,0,0
2020-03-06,Costa Rica,1,0,0,1,0,0
2020-03-07,Costa Rica,0,0,0,1,0,0
2020-03-08,Costa Rica,4,0,0,5,0,0
2020-03-09,Costa Rica,4,0,0,9,0,0
2020-03-10,Costa Rica,0,0,0,9,0,0
2020-03-11,Costa Rica,4,0,0,13,0,0
2020-03-12,Costa Rica,9,0,0,22,0,0
2020-03-13,Costa Rica,1,0,0,23,0,0
2020-03-14,Costa Rica,3,0,0,26,0,0
2020-03-15,Costa Rica,1,0,0,27,0,0
2020-03-16,Costa Rica,8,0,0,35,0,0
2020-03-17,Costa Rica,6,0,0,41,0,0
2020-03-18,Costa Rica,9,0,0,50,0,0
2020-03-19,Costa Rica,19,0,1,69,0,1
2020-03-20,Costa Rica,20,0,0,89,0,1
2020-03-21,Costa Rica,28,2,1,117,2,2
2020-03-22,Costa Rica,17,0,0,134,2,2
2020-03-23,Costa Rica,24,0,0,158,2,2
2020-03-24,Costa Rica,19,0,0,177,2,2
2020-03-25,Costa Rica,24,0,0,201,2,2
2020-03-26,Costa Rica,30,0,0,231,2,2
2020-03-27,Costa Rica,32,1,0,263,3,2
2020-03-28,Costa Rica,32,0,0,295,3,2
2020-03-29,Costa Rica,19,0,0,314,3,2
2020-03-30,Costa Rica,16,1,0,330,4,2
2020-03-31,Costa Rica,17,0,0,347,4,2
2020-04-01,Costa Rica,28,0,0,375,4,2
2020-04-02,Costa Rica,21,2,0,396,6,2
2020-04-03,Costa Rica,20,5,0,416,11,2
2020-04-04,Costa Rica,19,2,0,435,13,2
2020-04-05,Costa Rica,19,3,0,454,16,2
2020-04-06,Costa Rica,13,2,0,467,18,2
2020-04-07,Costa Rica,16,6,0,483,24,2
2020-04-08,Costa Rica,19,5,1,502,29,3
2020-04-09,Costa Rica,37,1,0,539,30,3
2020-04-10,Costa Rica,19,12,0,558,42,3
2020-04-11,Costa Rica,19,7,0,577,49,3
2020-04-12,Costa Rica,18,7,0,595,56,3
2020-04-13,Costa Rica,17,6,0,612,62,3
2020-04-14,Costa Rica,6,4,0,618,66,3
2020-04-15,Costa Rica,8,1,1,626,67,4
2020-04-16,Costa Rica,16,7,0,642,74,4
2020-04-17,Costa Rica,7,14,0,649,88,4
2020-04-18,Costa Rica,6,9,0,655,97,4
2020-04-19,Costa Rica,5,15,1,660,112,5
2020-04-20,Costa Rica,2,12,1,662,124,6
2020-04-21,Costa Rica,7,26,0,669,150,6
2020-04-22,Costa Rica,12,30,0,681,180,6
2020-04-23,Costa Rica,5,16,0,686,196,6
2020-04-24,Costa Rica,1,20,0,687,216,6
2020-04-25,Costa Rica,6,26,0,693,242,6
2020-04-26,Costa Rica,2,22,0,695,264,6
2020-04-27,Costa Rica,2,23,0,697,287,6
2020-04-28,Costa Rica,8,19,0,705,306,6
2020-04-29,Costa Rica,8,17,0,713,323,6
2020-04-30,Costa Rica,6,15,0,719,338,6
2020-05-01,Costa Rica,6,17,0,725,355,6
2020-05-02,Costa Rica,8,17,0,733,372,6
2020-05-03,Costa Rica,6,14,0,739,386,6
2020-05-04,Costa Rica,3,13,0,742,399,6
2020-05-05,Costa Rica,13,14,0,755,413,6
2020-05-06,Costa Rica,6,15,0,761,428,6
2020-05-07,Costa Rica,4,17,0,765,445,6
2020-05-08,Costa Rica,8,16,0,773,461,6
2020-05-09,Costa Rica,7,19,0,780,480,6
2020-05-10,Costa Rica,12,21,1,792,501,7
2020-05-11,Costa Rica,9,16,0,801,517,7
2020-05-12,Costa Rica,3,3,0,804,520,7
2020-05-13,Costa Rica,11,7,1,815,527,8
2020-05-14,Costa Rica,15,8,0,830,535,8
2020-05-15,Costa Rica,13,7,1,843,542,9
2020-05-16,Costa Rica,10,9,1,853,551,10
2020-05-17,Costa Rica,10,14,0,863,565,10
2020-05-18,Costa Rica,3,10,0,866,575,10
2020-05-19,Costa Rica,16,2,0,882,577,10
2020-05-20,Costa Rica,15,5,0,897,582,10
2020-05-21,Costa Rica,6,10,0,903,592,10
2020-05-22,Costa Rica,8,8,0,911,600,10
2020-05-23,Costa Rica,7,7,0,918,607,10
2020-05-24,Costa Rica,12,13,0,930,620,10
2020-05-25,Costa Rica,21,8,0,951,628,10
2020-05-26,Costa Rica,5,6,0,956,634,10
2020-05-27,Costa Rica,28,5,0,984,639,10
2020-05-28,Costa Rica,16,7,0,1000,646,10
2020-05-29,Costa Rica,22,7,0,1022,653,10
2020-05-30,Costa Rica,25,5,0,1047,658,10
2020-05-31,Costa Rica,9,11,0,1056,669,10
2020-06-01,Costa Rica,28,7,0,1084,676,10
2020-06-02,Costa Rica,21,6,0,1105,682,10
2020-06-03,Costa Rica,52,3,0,1157,685,10
2020-06-04,Costa Rica,37,2,0,1194,687,10
2020-06-05,Costa Rica,34,8,0,1228,695,10
2020-06-06,Costa Rica,35,6,0,1263,701,10
2020-06-07,Costa Rica,55,3,0,1318,704,10
2020-06-08,Costa Rica,24,8,1,1342,712,11
2020-06-09,Costa Rica,33,5,0,1375,717,11
2020-06-10,Costa Rica,86,5,1,1461,722,12
2020-06-11,Costa Rica,77,0,0,1538,722,12
2020-06-12,Costa Rica,74,9,0,1612,731,12
2020-06-13,Costa Rica,50,12,0,1662,743,12
2020-06-14,Costa Rica,53,9,0,1715,752,12
2020-06-15,Costa Rica,29,19,0,1744,771,12
2020-06-16,Costa Rica,52,23,0,1796,794,12
2020-06-17,Costa Rica,75,105,0,1871,899,12
2020-06-18,Costa Rica,68,38,0,1939,937,12
2020-06-19,Costa Rica,119,45,0,2058,982,12
2020-06-20,Costa Rica,69,32,0,2127,1014,12
2020-06-21,Costa Rica,86,18,0,2213,1032,12
2020-06-22,Costa Rica,64,11,0,2277,1043,12
2020-06-23,Costa Rica,91,86,0,2368,1129,12
2020-06-24,Costa Rica,147,81,0,2515,1210,12
2020-06-25,Costa Rica,169,17,0,2684,1227,12
2020-06-26,Costa Rica,152,53,0,2836,1280,12
2020-06-27,Costa Rica,143,45,2,2979,1325,14
2020-06-28,Costa Rica,151,41,1,3130,1366,15
2020-06-29,Costa Rica,139,28,0,3269,1394,15
2020-06-30,Costa Rica,190,42,1,3459,1436,16
2020-07-01,Costa Rica,294,80,1,3753,1516,17
2020-07-02,Costa Rica,270,73,1,4023,1589,18
2020-07-03,Costa Rica,288,68,0,4311,1657,18
2020-07-04,Costa Rica,310,64,0,4621,1721,18
2020-07-05,Costa Rica,375,24,1,4996,1745,19
2020-07-06,Costa Rica,245,31,4,5241,1776,23
2020-07-07,Costa Rica,245,34,0,5486,1810,23
2020-07-08,Costa Rica,350,119,2,5836,1929,25
2020-07-09,Costa Rica,649,94,0,6485,2023,25
2020-07-10,Costa Rica,360,87,1,6845,2110,26
2020-07-11,Costa Rica,386,110,2,7231,2220,28
2020-07-12,Costa Rica,365,19,2,7596,2239,30
2020-07-13,Costa Rica,440,65,4,8036,2304,34
2020-07-14,Costa Rica,446,137,3,8482,2441,37
2020-07-15,Costa Rica,504,110,3,8986,2551,40
2020-07-16,Costa Rica,560,122,2,9546,2673,42
2020-07-17,Costa Rica,423,145,5,9969,2818,47
2020-07-18,Costa Rica,582,84,7,10551,2902,54
2020-07-19,Costa Rica,563,64,8,11114,2966,62
2020-07-20,Costa Rica,420,53,4,11534,3019,66
2020-07-21,Costa Rica,277,175,2,11811,3194,68
2020-07-22,Costa Rica,550,128,3,12361,3322,71
2020-07-23,Costa Rica,768,126,9,13129,3448,80
2020-07-24,Costa Rica,540,57,7,13669,3505,87
2020-07-25,Costa Rica,931,135,11,14600,3640,98
2020-07-26,Costa Rica,629,96,6,15229,3736,104
2020-07-27,Costa Rica,612,88,11,15841,3824,115
2020-07-28,Costa Rica,503,96,10,16344,3920,125
2020-07-29,Costa Rica,456,130,8,16800,4050,133
2020-07-30,Costa Rica,490,230,7,17290,4280,140
2020-07-31,Costa Rica,530,124,10,17820,4404,150
2020-08-01,Costa Rica,367,127,4,18187,4531,154
2020-08-02,Costa Rica,788,54,8,18975,4585,162
2020-08-03,Costa Rica,427,104,9,19402,4689,171
2020-08-04,Costa Rica,435,1901,10,19837,6590,181
2020-08-05,Costa Rica,580,261,10,20417,6851,191
2020-08-06,Costa Rica,653,187,9,21070,7038,200
2020-08-07,Costa Rica,1011,228,18,22081,7266,218
2020-08-08,Costa Rica,721,323,10,22802,7589,228
2020-08-09,Costa Rica,484,141,7,23286,7730,235
2020-08-10,Costa Rica,586,93,9,23872,7823,244
2020-08-11,Costa Rica,636,148,11,24508,7971,255
2020-08-12,Costa Rica,549,218,8,25057,8189,263
2020-08-13,Costa Rica,1072,223,9,26129,8412,272
2020-08-14,Costa Rica,802,373,9,26931,8785,281
2020-08-15,Costa Rica,806,225,10,27737,9010,291
2020-08-16,Costa Rica,728,52,3,28465,9062,294
2020-08-17,Costa Rica,619,171,10,29084,9233,304
2020-08-18,Costa Rica,559,229,10,29643,9462,314
2020-08-19,Costa Rica,766,198,7,30409,9660,321
2020-08-20,Costa Rica,666,279,12,31075,9939,333
2020-08-21,Costa Rica,1059,220,7,32134,10159,340
2020-08-22,Costa Rica,950,213,8,33084,10372,348
2020-08-23,Costa Rica,736,146,7,33820,10518,355
2020-08-24,Costa Rica,643,2240,7,34463,12758,362
2020-08-25,Costa Rica,842,315,14,35305,13073,376
2020-08-26,Costa Rica,1002,244,10,36307,13317,386
