Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Saudi Arabia,0,0,0,0,0,0
2020-01-24,Saudi Arabia,0,0,0,0,0,0
2020-01-25,Saudi Arabia,0,0,0,0,0,0
2020-01-26,Saudi Arabia,0,0,0,0,0,0
2020-01-27,Saudi Arabia,0,0,0,0,0,0
2020-01-28,Saudi Arabia,0,0,0,0,0,0
2020-01-29,Saudi Arabia,0,0,0,0,0,0
2020-01-30,Saudi Arabia,0,0,0,0,0,0
2020-01-31,Saudi Arabia,0,0,0,0,0,0
2020-02-01,Saudi Arabia,0,0,0,0,0,0
2020-02-02,Saudi Arabia,0,0,0,0,0,0
2020-02-03,Saudi Arabia,0,0,0,0,0,0
2020-02-04,Saudi Arabia,0,0,0,0,0,0
2020-02-05,Saudi Arabia,0,0,0,0,0,0
2020-02-06,Saudi Arabia,0,0,0,0,0,0
2020-02-07,Saudi Arabia,0,0,0,0,0,0
2020-02-08,Saudi Arabia,0,0,0,0,0,0
2020-02-09,Saudi Arabia,0,0,0,0,0,0
2020-02-10,Saudi Arabia,0,0,0,0,0,0
2020-02-11,Saudi Arabia,0,0,0,0,0,0
2020-02-12,Saudi Arabia,0,0,0,0,0,0
2020-02-13,Saudi Arabia,0,0,0,0,0,0
2020-02-14,Saudi Arabia,0,0,0,0,0,0
2020-02-15,Saudi Arabia,0,0,0,0,0,0
2020-02-16,Saudi Arabia,0,0,0,0,0,0
2020-02-17,Saudi Arabia,0,0,0,0,0,0
2020-02-18,Saudi Arabia,0,0,0,0,0,0
2020-02-19,Saudi Arabia,0,0,0,0,0,0
2020-02-20,Saudi Arabia,0,0,0,0,0,0
2020-02-21,Saudi Arabia,0,0,0,0,0,0
2020-02-22,Saudi Arabia,0,0,0,0,0,0
2020-02-23,Saudi Arabia,0,0,0,0,0,0
2020-02-24,Saudi Arabia,0,0,0,0,0,0
2020-02-25,Saudi Arabia,0,0,0,0,0,0
2020-02-26,Saudi Arabia,0,0,0,0,0,0
2020-02-27,Saudi Arabia,0,0,0,0,0,0
2020-02-28,Saudi Arabia,0,0,0,0,0,0
2020-02-29,Saudi Arabia,0,0,0,0,0,0
2020-03-01,Saudi Arabia,0,0,0,0,0,0
2020-03-02,Saudi Arabia,1,0,0,1,0,0
2020-03-03,Saudi Arabia,0,0,0,1,0,0
2020-03-04,Saudi Arabia,0,0,0,1,0,0
2020-03-05,Saudi Arabia,4,0,0,5,0,0
2020-03-06,Saudi Arabia,0,0,0,5,0,0
2020-03-07,Saudi Arabia,0,0,0,5,0,0
2020-03-08,Saudi Arabia,6,0,0,11,0,0
2020-03-09,Saudi Arabia,4,0,0,15,0,0
2020-03-10,Saudi Arabia,5,1,0,20,1,0
