Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Bangladesh,0,0,0,0,0,0
2020-01-24,Bangladesh,0,0,0,0,0,0
2020-01-25,Bangladesh,0,0,0,0,0,0
2020-01-26,Bangladesh,0,0,0,0,0,0
2020-01-27,Bangladesh,0,0,0,0,0,0
2020-01-28,Bangladesh,0,0,0,0,0,0
2020-01-29,Bangladesh,0,0,0,0,0,0
2020-01-30,Bangladesh,0,0,0,0,0,0
2020-01-31,Bangladesh,0,0,0,0,0,0
2020-02-01,Bangladesh,0,0,0,0,0,0
2020-02-02,Bangladesh,0,0,0,0,0,0
2020-02-03,Bangladesh,0,0,0,0,0,0
2020-02-04,Bangladesh,0,0,0,0,0,0
2020-02-05,Bangladesh,0,0,0,0,0,0
2020-02-06,Bangladesh,0,0,0,0,0,0
2020-02-07,Bangladesh,0,0,0,0,0,0
2020-02-08,Bangladesh,0,0,0,0,0,0
2020-02-09,Bangladesh,0,0,0,0,0,0
2020-02-10,Bangladesh,0,0,0,0,0,0
2020-02-11,Bangladesh,0,0,0,0,0,0
2020-02-12,Bangladesh,0,0,0,0,0,0
2020-02-13,Bangladesh,0,0,0,0,0,0
2020-02-14,Bangladesh,0,0,0,0,0,0
2020-02-15,Bangladesh,0,0,0,0,0,0
2020-02-16,Bangladesh,0,0,0,0,0,0
2020-02-17,Bangladesh,0,0,0,0,0,0
2020-02-18,Bangladesh,0,0,0,0,0,0
2020-02-19,Bangladesh,0,0,0,0,0,0
2020-02-20,Bangladesh,0,0,0,0,0,0
2020-02-21,Bangladesh,0,0,0,0,0,0
2020-02-22,Bangladesh,0,0,0,0,0,0
2020-02-23,Bangladesh,0,0,0,0,0,0
2020-02-24,Bangladesh,0,0,0,0,0,0
2020-02-25,Bangladesh,0,0,0,0,0,0
2020-02-26,Bangladesh,0,0,0,0,0,0
2020-02-27,Bangladesh,0,0,0,0,0,0
2020-02-28,Bangladesh,0,0,0,0,0,0
2020-02-29,Bangladesh,0,0,0,0,0,0
2020-03-01,Bangladesh,0,0,0,0,0,0
2020-03-02,Bangladesh,0,0,0,0,0,0
2020-03-03,Bangladesh,0,0,0,0,0,0
2020-03-04,Bangladesh,0,0,0,0,0,0
2020-03-05,Bangladesh,0,0,0,0,0,0
2020-03-06,Bangladesh,0,0,0,0,0,0
2020-03-07,Bangladesh,0,0,0,0,0,0
2020-03-08,Bangladesh,3,0,0,3,0,0
2020-03-09,Bangladesh,0,0,0,3,0,0
2020-03-10,Bangladesh,0,0,0,3,0,0
2020-03-11,Bangladesh,0,0,0,3,0,0
2020-03-12,Bangladesh,0,0,0,3,0,0
2020-03-13,Bangladesh,0,0,0,3,0,0
2020-03-14,Bangladesh,0,0,0,3,0,0
2020-03-15,Bangladesh,2,0,0,5,0,0
2020-03-16,Bangladesh,3,2,0,8,2,0
2020-03-17,Bangladesh,2,1,0,10,3,0
2020-03-18,Bangladesh,4,0,1,14,3,1
2020-03-19,Bangladesh,3,0,0,17,3,1
2020-03-20,Bangladesh,3,0,0,20,3,1
2020-03-21,Bangladesh,5,0,1,25,3,2
2020-03-22,Bangladesh,2,0,0,27,3,2
2020-03-23,Bangladesh,6,0,1,33,3,3
2020-03-24,Bangladesh,6,2,1,39,5,4
2020-03-25,Bangladesh,0,2,1,39,7,5
2020-03-26,Bangladesh,5,4,0,44,11,5
2020-03-27,Bangladesh,4,0,0,48,11,5
2020-03-28,Bangladesh,0,4,0,48,15,5
2020-03-29,Bangladesh,0,0,0,48,15,5
2020-03-30,Bangladesh,1,4,0,49,19,5
2020-03-31,Bangladesh,2,6,0,51,25,5
2020-04-01,Bangladesh,3,0,1,54,25,6
2020-04-02,Bangladesh,2,0,0,56,25,6
2020-04-03,Bangladesh,5,1,0,61,26,6
2020-04-04,Bangladesh,9,4,2,70,30,8
2020-04-05,Bangladesh,18,3,1,88,33,9
2020-04-06,Bangladesh,35,0,3,123,33,12
2020-04-07,Bangladesh,41,0,5,164,33,17
2020-04-08,Bangladesh,54,0,3,218,33,20
2020-04-09,Bangladesh,112,0,1,330,33,21
2020-04-10,Bangladesh,94,0,6,424,33,27
2020-04-11,Bangladesh,58,3,3,482,36,30
2020-04-12,Bangladesh,139,3,4,621,39,34
2020-04-13,Bangladesh,182,3,5,803,42,39
2020-04-14,Bangladesh,209,0,7,1012,42,46
2020-04-15,Bangladesh,219,7,4,1231,49,50
2020-04-16,Bangladesh,341,0,10,1572,49,60
2020-04-17,Bangladesh,266,9,15,1838,58,75
2020-04-18,Bangladesh,306,8,9,2144,66,84
2020-04-19,Bangladesh,312,9,7,2456,75,91
