Date,Confirmed,Deceased,Recovered,Total_Confirmed,Total_Deceased,Total_Recovered
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,0,0,1,0,0
2020-03-18,0,0,0,1,0,0
2020-03-19,0,0,0,1,0,0
2020-03-20,1,0,0,2,0,0
2020-03-21,2,0,0,4,0,0
2020-03-22,3,0,0,7,0,0
2020-03-23,0,1,0,7,1,0
2020-03-24,2,0,0,9,1,0
2020-03-25,0,0,0,9,1,0
2020-03-26,1,0,0,10,1,0
2020-03-27,5,0,0,15,1,0
2020-03-28,3,0,0,18,1,0
2020-03-29,3,0,0,21,1,0
2020-03-30,1,1,0,22,2,0
2020-03-31,15,1,3,37,3,3
2020-04-01,0,0,0,37,3,3
2020-04-02,16,0,0,53,3,3
2020-04-03,0,0,0,53,3,3
2020-04-04,0,0,0,53,3,3
2020-04-05,27,0,7,80,3,10
2020-04-06,0,0,0,80,3,10
2020-04-07,11,0,3,91,3,13
2020-04-08,8,2,0,99,5,13
2020-04-09,4,0,3,103,5,16
2020-04-10,13,0,0,116,5,16
2020-04-11,10,0,0,126,5,16
2020-04-12,8,2,3,134,7,19
2020-04-13,18,0,10,152,7,29
2020-04-14,38,0,7,190,7,36
2020-04-15,23,0,1,213,7,37
2020-04-16,18,3,5,231,10,42
2020-04-17,24,0,9,255,10,51
2020-04-18,32,2,4,287,12,55
2020-04-19,23,0,7,310,12,62
2020-04-20,29,0,4,339,12,66
2020-04-21,53,3,7,392,15,73
2020-04-22,31,0,0,423,15,73
2020-04-23,33,0,6,456,15,79
2020-04-24,58,3,24,514,18,103
2020-04-25,57,0,0,571,18,103
2020-04-26,40,2,2,611,20,105
2020-04-27,38,0,0,649,20,105
2020-04-28,48,2,4,697,22,109
2020-04-29,28,0,10,725,22,119
2020-04-30,33,11,5,758,33,124
2020-05-01,37,8,15,795,41,139
2020-05-02,127,7,12,922,48,151
2020-05-03,276,74,-19,1198,122,132
2020-05-04,61,11,86,1259,133,218
2020-05-05,85,7,46,1344,140,264
2020-05-06,112,4,1,1456,144,265
2020-05-07,92,7,31,1548,151,296
2020-05-08,130,9,27,1678,160,323
2020-05-09,108,11,49,1786,171,372
2020-05-10,153,14,45,1939,185,417
2020-05-11,124,5,82,2063,190,499
2020-05-12,110,8,113,2173,198,612
2020-05-13,117,9,90,2290,207,702
2020-05-14,87,8,66,2377,215,768
2020-05-15,84,10,61,2461,225,829
2020-05-16,115,7,63,2576,232,892
2020-05-17,101,6,67,2677,238,959
2020-05-18,147,6,47,2824,244,1006
2020-05-19,137,6,68,2961,250,1074
2020-05-20,142,3,62,3103,253,1136
2020-05-21,94,6,57,3197,259,1193
2020-05-22,135,6,28,3332,265,1221
2020-05-23,127,4,60,3459,269,1281
2020-05-24,208,3,58,3667,272,1339
2020-05-25,149,6,75,3816,278,1414
2020-05-26,193,5,72,4009,283,1486
2020-05-27,183,6,92,4192,289,1578
